distribution,row_json
real_source_counts,"{""real_count"": 127, ""real_source"": ""LAION"", ""share_percent"": 50.8, ""source_order"": 1, ""split"": ""Hard Hourglass val"", ""split_order"": 3}"
real_source_counts,"{""real_count"": 94, ""real_source"": ""RAISE"", ""share_percent"": 37.6, ""source_order"": 2, ""split"": ""Hard Hourglass val"", ""split_order"": 3}"
real_source_counts,"{""real_count"": 29, ""real_source"": ""COCO"", ""share_percent"": 11.6, ""source_order"": 0, ""split"": ""Hard DFGAN val"", ""split_order"": 4}"
real_source_counts,"{""real_count"": 127, ""real_source"": ""LAION"", ""share_percent"": 50.8, ""source_order"": 1, ""split"": ""Hard DFGAN val"", ""split_order"": 4}"
real_source_counts,"{""real_count"": 94, ""real_source"": ""RAISE"", ""share_percent"": 37.6, ""source_order"": 2, ""split"": ""Hard DFGAN val"", ""split_order"": 4}"
real_source_counts,"{""real_count"": 29, ""real_source"": ""COCO"", ""share_percent"": 11.6, ""source_order"": 0, ""split"": ""Hard GALIP val"", ""split_order"": 5}"
real_source_counts,"{""real_count"": 127, ""real_source"": ""LAION"", ""share_percent"": 50.8, ""source_order"": 1, ""split"": ""Hard GALIP val"", ""split_order"": 5}"
real_source_counts,"{""real_count"": 94, ""real_source"": ""RAISE"", ""share_percent"": 37.6, ""source_order"": 2, ""split"": ""Hard GALIP val"", ""split_order"": 5}"
real_source_counts,"{""real_count"": 250, ""real_source"": ""COCO"", ""share_percent"": 25.0, ""source_order"": 0, ""split"": ""External seen-family test"", ""split_order"": 6}"
real_source_counts,"{""real_count"": 250, ""real_source"": ""FFHQ"", ""share_percent"": 25.0, ""source_order"": 1, ""split"": ""External seen-family test"", ""split_order"": 6}"
real_source_counts,"{""real_count"": 250, ""real_source"": ""LAION"", ""share_percent"": 25.0, ""source_order"": 2, ""split"": ""External seen-family test"", ""split_order"": 6}"
real_source_counts,"{""real_count"": 250, ""real_source"": ""RAISE"", ""share_percent"": 25.0, ""source_order"": 3, ""split"": ""External seen-family test"", ""split_order"": 6}"
real_source_counts,"{""real_count"": 250, ""real_source"": ""COCO"", ""share_percent"": 25.0, ""source_order"": 0, ""split"": ""External unseen-family test"", ""split_order"": 7}"
real_source_counts,"{""real_count"": 250, ""real_source"": ""FFHQ"", ""share_percent"": 25.0, ""source_order"": 1, ""split"": ""External unseen-family test"", ""split_order"": 7}"
real_source_counts,"{""real_count"": 250, ""real_source"": ""LAION"", ""share_percent"": 25.0, ""source_order"": 2, ""split"": ""External unseen-family test"", ""split_order"": 7}"
real_source_counts,"{""real_count"": 250, ""real_source"": ""RAISE"", ""share_percent"": 25.0, ""source_order"": 3, ""split"": ""External unseen-family test"", ""split_order"": 7}"
resolution_counts,"{""bin_order"": 0, ""count"": 24, ""resolution_bin"": ""<=0.10 MP"", ""share_percent"": 0.1333, ""split"": ""Train"", ""split_order"": 0}"
resolution_counts,"{""bin_order"": 1, ""count"": 11252, ""resolution_bin"": ""0.10-0.30 MP"", ""share_percent"": 62.5111, ""split"": ""Train"", ""split_order"": 0}"
resolution_counts,"{""bin_order"": 2, ""count"": 4418, ""resolution_bin"": ""0.30-1.00 MP"", ""share_percent"": 24.5444, ""split"": ""Train"", ""split_order"": 0}"
resolution_counts,"{""bin_order"": 3, ""count"": 2123, ""resolution_bin"": ""1.00-5.00 MP"", ""share_percent"": 11.7944, ""split"": ""Train"", ""split_order"": 0}"
resolution_counts,"{""bin_order"": 4, ""count"": 183, ""resolution_bin"": "">5.00 MP"", ""share_percent"": 1.0167, ""split"": ""Train"", ""split_order"": 0}"
resolution_counts,"{""bin_order"": 0, ""count"": 1, ""resolution_bin"": ""<=0.10 MP"", ""share_percent"": 0.05, ""split"": ""Internal unseen-generator val"", ""split_order"": 1}"
resolution_counts,"{""bin_order"": 1, ""count"": 1242, ""resolution_bin"": ""0.10-0.30 MP"", ""share_percent"": 62.1, ""split"": ""Internal unseen-generator val"", ""split_order"": 1}"
resolution_counts,"{""bin_order"": 2, ""count"": 494, ""resolution_bin"": ""0.30-1.00 MP"", ""share_percent"": 24.7, ""split"": ""Internal unseen-generator val"", ""split_order"": 1}"
resolution_counts,"{""bin_order"": 3, ""count"": 236, ""resolution_bin"": ""1.00-5.00 MP"", ""share_percent"": 11.8, ""split"": ""Internal unseen-generator val"", ""split_order"": 1}"
resolution_counts,"{""bin_order"": 4, ""count"": 27, ""resolution_bin"": "">5.00 MP"", ""share_percent"": 1.35, ""split"": ""Internal unseen-generator val"", ""split_order"": 1}"
resolution_counts,"{""bin_order"": 0, ""count"": 396, ""resolution_bin"": ""<=0.10 MP"", ""share_percent"": 19.8, ""split"": ""External exact-seen val"", ""split_order"": 2}"
resolution_counts,"{""bin_order"": 1, ""count"": 1576, ""resolution_bin"": ""0.10-0.30 MP"", ""share_percent"": 78.8, ""split"": ""External exact-seen val"", ""split_order"": 2}"
resolution_counts,"{""bin_order"": 2, ""count"": 22, ""resolution_bin"": ""0.30-1.00 MP"", ""share_percent"": 1.1, ""split"": ""External exact-seen val"", ""split_order"": 2}"
resolution_counts,"{""bin_order"": 3, ""count"": 6, ""resolution_bin"": ""1.00-5.00 MP"", ""share_percent"": 0.3, ""split"": ""External exact-seen val"", ""split_order"": 2}"
resolution_counts,"{""bin_order"": 4, ""count"": 0, ""resolution_bin"": "">5.00 MP"", ""share_percent"": 0.0, ""split"": ""External exact-seen val"", ""split_order"": 2}"
resolution_counts,"{""bin_order"": 0, ""count"": 141, ""resolution_bin"": ""<=0.10 MP"", ""share_percent"": 28.2, ""split"": ""Hard Hourglass val"", ""split_order"": 3}"
resolution_counts,"{""bin_order"": 1, ""count"": 77, ""resolution_bin"": ""0.10-0.30 MP"", ""share_percent"": 15.4, ""split"": ""Hard Hourglass val"", ""split_order"": 3}"
resolution_counts,"{""bin_order"": 2, ""count"": 58, ""resolution_bin"": ""0.30-1.00 MP"", ""share_percent"": 11.6, ""split"": ""Hard Hourglass val"", ""split_order"": 3}"
resolution_counts,"{""bin_order"": 3, ""count"": 129, ""resolution_bin"": ""1.00-5.00 MP"", ""share_percent"": 25.8, ""split"": ""Hard Hourglass val"", ""split_order"": 3}"
resolution_counts,"{""bin_order"": 4, ""count"": 95, ""resolution_bin"": "">5.00 MP"", ""share_percent"": 19.0, ""split"": ""Hard Hourglass val"", ""split_order"": 3}"
resolution_counts,"{""bin_order"": 0, ""count"": 261, ""resolution_bin"": ""<=0.10 MP"", ""share_percent"": 52.2, ""split"": ""Hard DFGAN val"", ""split_order"": 4}"
resolution_counts,"{""bin_order"": 1, ""count"": 77, ""resolution_bin"": ""0.10-0.30 MP"", ""share_percent"": 15.4, ""split"": ""Hard DFGAN val"", ""split_order"": 4}"
resolution_counts,"{""bin_order"": 2, ""count"": 58, ""resolution_bin"": ""0.30-1.00 MP"", ""share_percent"": 11.6, ""split"": ""Hard DFGAN val"", ""split_order"": 4}"
resolution_counts,"{""bin_order"": 3, ""count"": 9, ""resolution_bin"": ""1.00-5.00 MP"", ""share_percent"": 1.8, ""split"": ""Hard DFGAN val"", ""split_order"": 4}"
resolution_counts,"{""bin_order"": 4, ""count"": 95, ""resolution_bin"": "">5.00 MP"", ""share_percent"": 19.0, ""split"": ""Hard DFGAN val"", ""split_order"": 4}"
resolution_counts,"{""bin_order"": 0, ""count"": 261, ""resolution_bin"": ""<=0.10 MP"", ""share_percent"": 52.2, ""split"": ""Hard GALIP val"", ""split_order"": 5}"
resolution_counts,"{""bin_order"": 1, ""count"": 77, ""resolution_bin"": ""0.10-0.30 MP"", ""share_percent"": 15.4, ""split"": ""Hard GALIP val"", ""split_order"": 5}"
resolution_counts,"{""bin_order"": 2, ""count"": 58, ""resolution_bin"": ""0.30-1.00 MP"", ""share_percent"": 11.6, ""split"": ""Hard GALIP val"", ""split_order"": 5}"
resolution_counts,"{""bin_order"": 3, ""count"": 9, ""resolution_bin"": ""1.00-5.00 MP"", ""share_percent"": 1.8, ""split"": ""Hard GALIP val"", ""split_order"": 5}"
resolution_counts,"{""bin_order"": 4, ""count"": 95, ""resolution_bin"": "">5.00 MP"", ""share_percent"": 19.0, ""split"": ""Hard GALIP val"", ""split_order"": 5}"
resolution_counts,"{""bin_order"": 0, ""count"": 312, ""resolution_bin"": ""<=0.10 MP"", ""share_percent"": 15.6, ""split"": ""External seen-family test"", ""split_order"": 6}"
resolution_counts,"{""bin_order"": 1, ""count"": 622, ""resolution_bin"": ""0.10-0.30 MP"", ""share_percent"": 31.1, ""split"": ""External seen-family test"", ""split_order"": 6}"
resolution_counts,"{""bin_order"": 2, ""count"": 269, ""resolution_bin"": ""0.30-1.00 MP"", ""share_percent"": 13.45, ""split"": ""External seen-family test"", ""split_order"": 6}"
resolution_counts,"{""bin_order"": 3, ""count"": 547, ""resolution_bin"": ""1.00-5.00 MP"", ""share_percent"": 27.35, ""split"": ""External seen-family test"", ""split_order"": 6}"
resolution_counts,"{""bin_order"": 4, ""count"": 250, ""resolution_bin"": "">5.00 MP"", ""share_percent"": 12.5, ""split"": ""External seen-family test"", ""split_order"": 6}"
resolution_counts,"{""bin_order"": 0, ""count"": 24, ""resolution_bin"": ""<=0.10 MP"", ""share_percent"": 1.2, ""split"": ""External unseen-family test"", ""split_order"": 7}"
resolution_counts,"{""bin_order"": 1, ""count"": 424, ""resolution_bin"": ""0.10-0.30 MP"", ""share_percent"": 21.2, ""split"": ""External unseen-family test"", ""split_order"": 7}"
resolution_counts,"{""bin_order"": 2, ""count"": 202, ""resolution_bin"": ""0.30-1.00 MP"", ""share_percent"": 10.1, ""split"": ""External unseen-family test"", ""split_order"": 7}"
resolution_counts,"{""bin_order"": 3, ""count"": 1100, ""resolution_bin"": ""1.00-5.00 MP"", ""share_percent"": 55.0, ""split"": ""External unseen-family test"", ""split_order"": 7}"
resolution_counts,"{""bin_order"": 4, ""count"": 250, ""resolution_bin"": "">5.00 MP"", ""share_percent"": 12.5, ""split"": ""External unseen-family test"", ""split_order"": 7}"
